"prospect_id","priority","experiment","company","decision_maker","send_timing","channel","subject","follow_up_message","positive_reply_action","redirect_reply_action","not_now_reply_action","negative_reply_action","status"
"C001","P1","E01; E02","Agnos Therapeutics","Carter Cliff","4 business days after initial outreach","Reply through the original contact route","Re: Your Japan entry plan after JEAP","Carter, one brief follow-up on Agnos's Japan plan. I am looking specifically at the operating work that sits between a market decision and the licensed professionals who execute regulated steps. If that coordination is already clearly owned, a simple no is useful. If it is still distributed across the team, would a 20-minute comparison next week be worthwhile?","Offer two specific 20-minute meeting times within the next five business days.","Thank them and contact the named owner within one business day, referencing the introduction.","Ask which dated Japan milestone should trigger one future follow-up; record it and close the current sequence.","Thank them, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C002","P1","E01; E02","StemSight","Laura Koivusalo","4 business days after initial outreach","Reply to the original email thread","Re: A practical question after StemSight's JEAP work","Laura, I wanted to close the loop on my note about StemSight's Japan work. With clinical readiness, fundraising, and partnership development moving together, I am testing whether a single readiness map would remove meaningful founder coordination. Is that a live problem for StemSight, or is the Japan work already fully owned? Either answer would be helpful.","Offer two specific 20-minute meeting times within the next five business days.","Thank her and contact the named owner within one business day, referencing the introduction.","Ask which clinical, financing, or Japan milestone should trigger one future follow-up; record it and close the current sequence.","Thank her, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C003","P1","E01; E02","Tidewave Bio","Francois Binette","4 business days after initial outreach","Reply to the original email thread","Re: Coordinating the operating side of Tidewave's Japan plan","Francois, one final note on Tidewave's planned Japan development and collaboration work. I am trying to determine whether the cross-provider operating layer is a problem founders will pay to remove. If responsibilities, documents, and local handoffs still sit with your team, would a 20-minute comparison be useful? If not, a quick no will close the loop.","Offer two specific 20-minute meeting times within the next five business days.","Thank him and contact the named owner within one business day, referencing the introduction.","Ask which dated development or collaboration milestone should trigger one future follow-up; record it and close the current sequence.","Thank him, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C004","P1","E01; E02","MKC Biotherapeutics","Madhusudan V. Peshwa","4 business days after initial outreach","Reply through the original contact route","Re: The coordination layer around MKC's Japan plan","Dr. Peshwa, I am following up once on MKC's Japanese development plan. The narrow question is whether coordinating the plan, local professional scopes, documents, and ownership is consuming executive time outside the regulated therapy work. If so, I would value a 20-minute comparison. If another person owns Japan execution, an introduction would be equally useful.","Offer two specific 20-minute meeting times within the next five business days.","Thank him and contact the named owner within one business day, referencing the introduction.","Ask which dated development milestone should trigger one future follow-up; record it and close the current sequence.","Thank him, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C005","P1","E01; E02","NextCell Pharma","Mathias Svahn","4 business days after initial outreach","Reply to the original email thread","Re: One operating plan around NextCell's Japan work","Mathias, one brief follow-up on NextCell's Japan collaboration and market-development work. I am testing whether leaders need one accountable owner for the non-regulated coordination across providers, dependencies, and next actions. Is that responsibility currently clear inside NextCell? If not, would a 20-minute comparison next week be useful?","Offer two specific 20-minute meeting times within the next five business days.","Thank him and contact the named owner within one business day, referencing the introduction.","Ask which dated collaboration or market milestone should trigger one future follow-up; record it and close the current sequence.","Thank him, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C006","P1","E01; E02","Ernexa Therapeutics","Sanjeev Luther","4 business days after initial outreach","Reply through the original contact route","Re: A readiness question after Ernexa's JEAP participation","Sanjeev, I wanted to close the loop on Ernexa's planned Japanese development relationships. I am interviewing leaders to learn whether the operating handoffs around a Japan plan remain an executive burden after technical and professional advisers are involved. If that is live for Ernexa, could we compare notes for 20 minutes? If not, a short no is useful evidence too.","Offer two specific 20-minute meeting times within the next five business days.","Thank him and contact the named owner within one business day, referencing the introduction.","Ask which dated development or partnership milestone should trigger one future follow-up; record it and close the current sequence.","Thank him, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C007","P2","E01; E02","LIFT BioSciences","Bo Rode Hansen","4 business days after initial outreach","Reply through the original contact route","Re: The operating work around LIFT's Japan plans","Bo, one final follow-up on LIFT's planned Japan collaboration and development activity. I am testing a fixed-scope service for the non-regulated work between intent and execution: ownership, provider handoffs, documents, and dependencies. Would a 20-minute comparison help determine whether that problem exists at LIFT, or is the work already covered?","Offer two specific 20-minute meeting times within the next five business days.","Thank him and contact the named owner within one business day, referencing the introduction.","Ask which dated Japan milestone should trigger one future follow-up; record it and close the current sequence.","Thank him, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C008","P2","E01; E02","Senti Biosciences","Timothy Lu","4 business days after initial outreach","Reply to the original email thread","Re: A practical Japan-entry comparison after JEAP","Timothy, I am following up once on Senti's Japan plans. The question is not about regulated development advice; it is whether the operating coordination across responsibilities, local providers, documents, and next actions lacks one owner. If that is relevant, would you or the person leading Japan work be open to a 20-minute comparison?","Offer two specific 20-minute meeting times within the next five business days.","Thank him and contact the named owner within one business day, referencing the introduction.","Ask which dated clinical or Japan milestone should trigger one future follow-up; record it and close the current sequence.","Thank him, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C009","P1","E01; E02","LYMPHOGENiX Limited","Aarti Gurnani","4 business days after initial outreach","Reply to the original email thread","Re: What LYMPHOGENiX learned establishing in Nagoya","Aarti, one final follow-up on the Nagoya setup. I am trying to document what remained with leadership after incorporation and professional advice: provider handoffs, banking, documents, ownership, and launch follow-through. Would you be open to a 20-minute factual debrief? I will keep the interview separate from any paid offer.","Offer two specific 20-minute meeting times within the next five business days and label the meeting as a factual debrief.","Thank her and contact the named launch owner within one business day, referencing the introduction.","Ask which operating milestone should trigger one future follow-up; record it and close the current sequence.","Thank her, record the stated reason verbatim, and close the sequence.","Ready after initial send"
"C010","P1","E01; E02","Quantum Bridge Technologies","Mattia Montagna","4 business days after initial outreach","Reply to the original email thread","Re: After the Toshiba PoC: who owns the next Japan steps?","Mattia, following up once because Quantum Bridge has both a completed Japan PoC and fresh expansion capital. I am testing whether the work outside the distributor relationship still needs one owner across entity decisions, providers, documents, and next actions. Is that relevant now, or is the next Japan phase already fully covered?","Offer two specific 20-minute meeting times within the next five business days.","Thank him and contact the named owner within one business day, referencing the introduction.","Ask which commercial or expansion milestone should trigger one future follow-up; record it and close the current sequence.","Thank him, record the stated reason verbatim, and close the sequence.","Ready after initial send"
