"prospect_id","priority","experiment","company","hq_country","industry","decision_maker","role","public_contact","contact_route","japan_trigger","trigger_date","trigger_source","fit_hypothesis","qualification_risk","outreach_subject","outreach_message","outreach_status","next_action","evidence_checked"
"C001","P1","E01; E02","Agnos Therapeutics","USA","Biotechnology","Carter Cliff","CEO","Official website contact form","https://agnostx.com/","Selected for JETRO JEAP and presented a development plan for the Japanese market","2026-02-20","https://www.jetro.go.jp/en/invest/newsroom/2026/67777081b2b78cf2.html","Japan entry will require coordinated professional, partnership, regulatory-adjacent, and operating work beyond the scientific collaboration itself","Regulated life-science work may dominate; qualify for operational coordination only","Your Japan entry plan after JEAP","Carter, I saw Agnos present its Japan development plan through JETRO's JEAP cohort. I coordinate the non-regulated operating side of Japan entry across the plan, local professionals, documents, and next actions. I am interviewing founders at this exact stage before offering a fixed-scope readiness engagement. Would a 20-minute comparison of the workstreams now in front of Agnos be useful?","Ready to send","Submit through the official contact section and request a 20-minute founder interview","2026-07-12"
"C002","P1","E01; E02","StemSight","Finland","Biotechnology","Laura Koivusalo","CEO and Founder","laura.koivusalo@stemsight.fi","https://www.stemsight.fi/","Selected for JETRO JEAP; refining Japanese partnership and development plans while preparing clinical readiness and Series A work","2026-02-20","https://www.jetro.go.jp/en/invest/newsroom/2026/67777081b2b78cf2.html","Small founder-led team has a real Japan trigger and likely needs one sequence across partners, professional setup, collaboration, and future operations","Clinical and regulatory strategy must remain with qualified specialists","A practical question after StemSight's JEAP work","Laura, I saw StemSight in JETRO's JEAP cohort and your recent progress toward clinical readiness. I coordinate the non-regulated operating side of Japan entry for founder-led companies: responsibilities, local professionals, documents, dependencies, and next actions. I am interviewing founders at this stage before offering a paid readiness scope. Would a 20-minute comparison of StemSight's current Japan plan be useful?","Ready to send","Email Laura directly; follow up once after five business days","2026-07-12"
"C003","P1","E01; E02","Tidewave Bio","USA","Biotechnology","Francois Binette","CEO and Founder","email@tidewavebio.com","https://www.tidewavebio.com/","Selected for JETRO JEAP and presented planned Japanese development and collaboration activity","2026-02-20","https://www.jetro.go.jp/en/invest/newsroom/2026/67777081b2b78cf2.html","Founder-led company with an explicit Japan collaboration trigger and multiple likely institutional and operational dependencies","Early-stage clinical work may make formation premature; qualify timing before offering","Coordinating the operating side of Tidewave's Japan plan","Francois, I saw Tidewave present through JETRO's JEAP program. I coordinate the non-regulated work between a Japan decision and an operating plan, including local professional handoffs, responsibilities, documents, and dependencies. I am interviewing founders with active Japan plans and making a fixed-scope readiness offer only where the timing is real. Would a 20-minute comparison be worthwhile?","Ready to send","Email the published company address and request a founder conversation","2026-07-12"
"C004","P1","E01; E02","MKC Biotherapeutics","USA","Biotechnology","Madhusudan V. Peshwa","CEO and Board Member","Official company contact route","https://www.mkcbiotherapeutics.com/","Selected for JETRO JEAP with a Japanese development plan for an osteoarthritis cell therapy","2026-02-20","https://www.jetro.go.jp/en/invest/newsroom/2026/67777081b2b78cf2.html","CEO-led Japan planning likely crosses collaboration, professional, entity, tax, and operating workstreams","Existing strategic shareholders may already supply internal coordination","The coordination layer around MKC's Japan plan","Dr. Peshwa, I saw MKC Biotherapeutics present its Japan development plan through JETRO's JEAP cohort. Hajime coordinates the non-regulated operating layer across Japan entry: the plan, local providers, responsibilities, documents, and next actions. I am interviewing leaders at this exact stage before making a fixed-scope readiness offer. Would a 20-minute comparison of MKC's current approach be useful?","Ready to send","Use the official company contact route and ask for Dr. Peshwa","2026-07-12"
"C005","P1","E01; E02","NextCell Pharma","Sweden","Biotechnology","Mathias Svahn","CEO and Co-founder","info@nextcellpharma.com","https://www.nextcellpharma.com/en/contact","Selected for JETRO JEAP while pursuing Japanese collaboration and market-development options","2026-02-20","https://www.jetro.go.jp/en/invest/newsroom/2026/67777081b2b78cf2.html","Active clinical company has budget and decision authority; Japan path likely requires a clear operating sequence around professional and partner work","Public company may have established advisers and procurement requirements beyond Hajime's early capacity","One operating plan around NextCell's Japan work","Mathias, I saw NextCell in JETRO's JEAP cohort and noted the company's active licensing and clinical-development work. Hajime coordinates the non-regulated operating layer of Japan entry across responsibilities, local providers, documents, and next actions. I am interviewing leaders with dated Japan plans before making a fixed-scope readiness offer. Would a 20-minute comparison of your current plan be useful?","Ready to send","Email the published CEO contact address; treat as interview-first","2026-07-12"
"C006","P1","E01; E02","Ernexa Therapeutics","USA","Biotechnology","Sanjeev Luther","President and CEO","Official website contact form","https://www.ernexatx.com/team-2","Selected for JETRO JEAP and publicly pursuing Japanese development relationships","2026-02-20","https://www.jetro.go.jp/en/invest/newsroom/2026/67777081b2b78cf2.html","Japan collaboration activity could create cross-provider formation and operating dependencies that the executive team does not want to manage","NASDAQ governance and regulated development may produce a longer sales cycle","A readiness question after Ernexa's JEAP participation","Sanjeev, I saw Ernexa present its planned Japan work through JETRO's JEAP cohort. I run Hajime, an independent coordinator for the non-regulated operating work around Japan entry: local professional handoffs, responsibilities, documents, and next actions. I am interviewing leaders at this stage before offering a fixed-scope readiness engagement. Would a 20-minute comparison of Ernexa's current plan be useful?","Ready to send","Submit through the official form and route the note to Sanjeev Luther","2026-07-12"
"C007","P2","E01; E02","LIFT BioSciences","United Kingdom","Biotechnology","Bo Rode Hansen","Interim CEO","Official website contact form","https://www.liftbiosciences.com/contact","Selected for JETRO JEAP and presented planned Japanese collaboration and development activity","2026-02-20","https://www.jetro.go.jp/en/invest/newsroom/2026/67777081b2b78cf2.html","Multi-country company with a new interim CEO may benefit from a bounded map of Japan operating dependencies","Leadership transition and clinical priorities may delay a formation purchase","The operating work around LIFT's Japan plans","Bo, I saw LIFT BioSciences in JETRO's JEAP cohort and noted the company's UK, Ireland, and US operating footprint. Hajime coordinates the non-regulated operating layer of Japan entry across the plan, local providers, documents, and handoffs. I am interviewing executives with active Japan plans before offering paid readiness work. Would a 20-minute comparison be useful?","Ready to send","Submit the tailored message through LIFT's official contact form","2026-07-12"
"C008","P2","E01; E02","Senti Biosciences","USA","Biotechnology","Timothy Lu","Co-founder and CEO","contact@sentibio.com","https://www.sentibio.com/about/team/","Selected for JETRO JEAP and presented a Japanese development plan while advancing clinical-stage programs","2026-02-20","https://www.jetro.go.jp/en/invest/newsroom/2026/67777081b2b78cf2.html","Japan activity may require an accountable operating layer across corporate, professional, partner, and evidence handoffs","Public-company scale and existing legal operations reduce founder-led fit","A practical Japan-entry comparison after JEAP","Timothy, I saw Senti Bio present through JETRO's JEAP cohort. Hajime coordinates the non-regulated operating work around Japan entry: responsibilities, local professional handoffs, documents, dependencies, and next actions. I am interviewing companies with active Japan plans to learn where that layer is still unmanaged. Would a 20-minute comparison with the person owning Senti's Japan work be useful?","Ready to send","Email the published company contact and ask for the executive responsible for Japan entry","2026-07-12"
"C009","P1","E01; E02","LYMPHOGENiX Limited","United Kingdom","Biotechnology","Aarti Gurnani","CEO","info@lymphogenix.com","https://www.lymphogenix.com/team","Established a Japanese R&D subsidiary in Nagoya and is building academic and commercial collaboration in Japan","2026-04-01","https://www.jetro.go.jp/en/invest/newsroom/2026/8bf589508bc3490d.html","New 2024 startup now operating across UK and Japan likely has immediate post-formation coordination needs and direct memory of the entry process","Company has already formed; E02 behavioral interview comes before any stabilization offer","What LYMPHOGENiX learned establishing in Nagoya","Aarti, I saw LYMPHOGENiX establish its Nagoya R&D company after working with JETRO and local professionals. I am interviewing founders who have just crossed that process to understand which coordination work remained with the executive team after the advisers did their parts. Would you be open to a 20-minute factual debrief? If an unresolved operating handoff appears, I can outline a paid readiness scope separately.","Ready to send","Email Aarti through the published company address; interview before any offer","2026-07-12"
"C010","P1","E01; E02","Quantum Bridge Technologies","Canada","Cybersecurity","Mattia Montagna","Co-founder and CEO","contact@qubridge.io","https://qubridge.io/about-us/","Completed a Japan PoC through an exclusive distributor and raised an $8 million Series A to accelerate expansion","2026-05-20","https://www.jetro.go.jp/en/invest/newsroom/2026/6955cded1b223841.html","Funded founder-led B2B company has a live Japan commercial trigger and may need to decide whether distributor-led entry now requires a broader operating base","Exclusive distributor may own all local coordination; qualify before proposing entity work","After the Toshiba PoC: who owns the next Japan steps?","Mattia, I saw Quantum Bridge complete its Japan PoC with Toshiba and announce new expansion funding. I coordinate the non-regulated operating work between a Japan commercial trigger and a functioning local plan: responsibilities, professional handoffs, documents, and next actions. Would a 20-minute comparison of what remains with Quantum Bridge versus the distributor be useful?","Ready to send","Email Mattia at the published company contact; make the paid ask only if three interdependent needs remain","2026-07-12"
