"prospect_id","category","subcategory","organization","contact_name","city","coverage","languages","relevant_services","public_email","public_phone","contact_url","evidence_url","evidence_checked","source_quality","priority","outreach_status","fit_reason","personalization_note","next_action","restrictions"
"P001","Business Formation","Judicial Scrivener","ORIBE Judicial Scrivener Office","Mami Kubota","Nagoya","Japan and overseas clients","English; Japanese","Company incorporation; commercial registration; overseas counsel coordination; permits through affiliated office","","","https://oribe-pat.jp/en/shihoshoshi/","https://oribe-pat.jp/en/shihoshoshi/","2026-07-12","Official provider page","P1","Ready for outreach","Explicitly serves overseas companies and limits its role to Japan registration work","Reference ORIBE's coordination with overseas counsel and ask whether prepared founder referrals would reduce intake effort","Send tailored contact-form message","Verify current capacity and commercial-registration scope before referral"
"P002","Business Formation","Judicial Scrivener","Z'xent Pro","Eiko Matsunaka","","Japan","English; Japanese","Company establishment; judicial scrivener services; administrative procedures; foreign business expansion","","","https://business-japan.jp/about_us/","https://business-japan.jp/about_us/","2026-07-12","Official provider page","P1","Ready for outreach","Certified judicial and administrative professionals with English-speaking staff and foreign-business focus","Mention the overlap between foreign-company setup and Hajime's non-professional coordination role","Request a 20-minute partner-fit call","Confirm location; licensing entities; capacity; and whether Hajime is viewed as complementary"
"P003","Business Formation","Judicial Scrivener","Nagoya Legal Office","","Nagoya","Japan","English; Japanese","Company establishment; branch setup; judicial scrivener work; visa applications","","","https://www.nagoyalegal.com/","https://www.nagoyalegal.com/","2026-07-12","Official provider page","P1","Ready for outreach","Publicly supports new foreign companies establishing a Japanese company or branch","Ask how often foreign clients need coordination outside registration and visa scopes","Send company-establishment inquiry through official contact route","Clarify exact professional registrations and direct-client engagement terms"
"P004","Business Formation","Judicial Scrivener","STK Legal","","","Japan","English; Japanese; Chinese; Korean","Judicial scrivener; administrative scrivener; foreign-national procedures; multilingual support","","","https://www.stklegal.jp/en/about/","https://www.stklegal.jp/en/about/","2026-07-12","Official provider page","P1","Ready for outreach","Multilingual professional team may support broader foreign-founder referrals and backup capacity","Reference STK's native English capability and ask about structured formation handoffs","Use official contact form to request partner discussion","Confirm incorporation experience; response standards; and non-exclusive referral openness"
"P005","Business Formation","Judicial Scrivener","Nakajima International Legal Office","","Takatsuki","Osaka and Japan","English; Japanese","Company formation; commercial registration; entrepreneurial support; translation","","","https://nakajimalaw.net/english","https://nakajimalaw.net/english","2026-07-12","Official provider page","P1","Ready for outreach","Specializes in company formation and entrepreneurial support with English translation capability","Mention Hajime's need for an Osaka-region formation option and prepared bilingual handoffs","Send concise inquiry through official contact route","Confirm foreign-parent incorporation experience and current capacity"
"P006","Business Formation","Judicial Scrivener","Katsumata Legal Office","","","Japan","English; Japanese","Judicial scrivener; administrative scrivener; company establishment; residence applications; translation","","","https://www.katsumatalaw.com/en","https://www.katsumatalaw.com/en","2026-07-12","Official provider page","P2","Research complete","Combined judicial and administrative capabilities may reduce professional handoff count","Ask whether the firm accepts coordinator-prepared foreign-company matters while preserving direct professional responsibility","Verify contact route and send partner-fit inquiry","Confirm business-formation depth; page also covers unrelated individual work"
"P007","Business Formation","Administrative Scrivener","Bridge Estate Inc.","","Higashi Yamato","Tokyo and remote inquiry","English; Japanese","Administrative legal services; foreign resident support; business setup","","+81-80-5199-0789","https://www.bridge-estate.com/aboutus.html","https://www.bridge-estate.com/aboutus.html","2026-07-12","Official provider page","P2","Research complete","Bilingual administrative scrivener with foreign-resident and business setup positioning","Reference founder's international background and ask about business-permit and foreign-founder coordination scope","Verify service boundaries by email or phone before outreach","Do not assume judicial registration authority; route registration separately"
"P008","Business Formation","Administrative Scrivener","Okada Administrative Scrivener Office","","Tokyo","Japan","English; Japanese","Immigration procedures; new-firm document support through judicial-scrivener cooperation","","","https://www.ok-scriveners.com/","https://www.ok-scriveners.com/","2026-07-12","Official provider page","P2","Research complete","Bilingual immigration office already describes coordination with judicial scriveners for new firms","Ask whether Hajime can take non-professional project coordination off the office's team","Use official inquiry route","Confirm current business-manager and company-setup focus before referral"
"P009","Immigration","Administrative Scrivener","Tosaka Office","","","Japan","English; Japanese","Business Manager visa; business consulting; foreign entrepreneur expansion support","","","https://tosaka-office.jp/en/","https://tosaka-office.jp/en/","2026-07-12","Official provider page","P1","Ready for outreach","Dual-qualified administrative scrivener and SME consultant focused on foreign entrepreneurs","Reference the office's single-point positioning and clarify Hajime's separate coordination scope","Request partner-fit conversation through official contact route","Verify any claimed regulatory changes with official sources before repeating them"
"P010","Immigration","Administrative Scrivener","VisaFrontier / Gyoseishoshi Office Cerezo","","Tokyo","Nationwide online","English; Japanese","Business Manager visa; company formation coordination; applications and renewals","","","https://keieikanri-visa.com/en/about/","https://keieikanri-visa.com/en/about/","2026-07-12","Official provider page","P1","Ready for outreach","Explicit foreign-founder and nationwide English support creates a relevant referral route","Ask whether qualified commercial founders need broader office; tax; banking; and partner coordination","Use official contact route","Professional owns immigration conclusions; verify fees and current capacity"
